Year,ElevationGroup,ElevationCenter,MassBalance
1980.0,3400-3600 m,3500.0,-550.0348394670816
1980.0,3400-3600 m,3700.0,
1980.0,3400-3600 m,3900.0,
1980.0,3400-3600 m,4100.0,
1980.0,3400-3600 m,4300.0,
1980.0,3400-3600 m,4500.0,
1980.0,3400-3600 m,4700.0,
1980.0,3400-3600 m,4900.0,
1980.0,3400-3600 m,5100.0,
1980.0,3400-3600 m,5300.0,
1980.0,3400-3600 m,5500.0,
1980.0,3400-3600 m,5700.0,
1980.0,3400-3600 m,5900.0,
1980.0,3400-3600 m,6100.0,
1980.0,3400-3600 m,6300.0,
1980.0,3400-3600 m,7100.0,
1980.0,3600-3800 m,3500.0,
1980.0,3600-3800 m,3700.0,-93.0641945252
1980.0,3600-3800 m,3900.0,
1980.0,3600-3800 m,4100.0,
1980.0,3600-3800 m,4300.0,
1980.0,3600-3800 m,4500.0,
1980.0,3600-3800 m,4700.0,
1980.0,3600-3800 m,4900.0,
1980.0,3600-3800 m,5100.0,
1980.0,3600-3800 m,5300.0,
1980.0,3600-3800 m,5500.0,
1980.0,3600-3800 m,5700.0,
1980.0,3600-3800 m,5900.0,
1980.0,3600-3800 m,6100.0,
1980.0,3600-3800 m,6300.0,
1980.0,3600-3800 m,7100.0,
1980.0,3800-4000 m,3500.0,
1980.0,3800-4000 m,3700.0,
1980.0,3800-4000 m,3900.0,-33.273449898229394
1980.0,3800-4000 m,4100.0,
1980.0,3800-4000 m,4300.0,
1980.0,3800-4000 m,4500.0,
1980.0,3800-4000 m,4700.0,
1980.0,3800-4000 m,4900.0,
1980.0,3800-4000 m,5100.0,
1980.0,3800-4000 m,5300.0,
1980.0,3800-4000 m,5500.0,
1980.0,3800-4000 m,5700.0,
1980.0,3800-4000 m,5900.0,
1980.0,3800-4000 m,6100.0,
1980.0,3800-4000 m,6300.0,
1980.0,3800-4000 m,7100.0,
1980.0,4000-4200 m,3500.0,
1980.0,4000-4200 m,3700.0,
1980.0,4000-4200 m,3900.0,
1980.0,4000-4200 m,4100.0,-31.17716956024756
1980.0,4000-4200 m,4300.0,
1980.0,4000-4200 m,4500.0,
1980.0,4000-4200 m,4700.0,
1980.0,4000-4200 m,4900.0,
1980.0,4000-4200 m,5100.0,
1980.0,4000-4200 m,5300.0,
1980.0,4000-4200 m,5500.0,
1980.0,4000-4200 m,5700.0,
1980.0,4000-4200 m,5900.0,
1980.0,4000-4200 m,6100.0,
1980.0,4000-4200 m,6300.0,
1980.0,4000-4200 m,7100.0,
1980.0,4200-4400 m,3500.0,
1980.0,4200-4400 m,3700.0,
1980.0,4200-4400 m,3900.0,
1980.0,4200-4400 m,4100.0,
1980.0,4200-4400 m,4300.0,-95.25183476589362
1980.0,4200-4400 m,4500.0,
1980.0,4200-4400 m,4700.0,
1980.0,4200-4400 m,4900.0,
1980.0,4200-4400 m,5100.0,
1980.0,4200-4400 m,5300.0,
1980.0,4200-4400 m,5500.0,
1980.0,4200-4400 m,5700.0,
1980.0,4200-4400 m,5900.0,
1980.0,4200-4400 m,6100.0,
1980.0,4200-4400 m,6300.0,
1980.0,4200-4400 m,7100.0,
1980.0,4400-4600 m,3500.0,
1980.0,4400-4600 m,3700.0,
1980.0,4400-4600 m,3900.0,
1980.0,4400-4600 m,4100.0,
1980.0,4400-4600 m,4300.0,
1980.0,4400-4600 m,4500.0,-2.2541429241292907
1980.0,4400-4600 m,4700.0,
1980.0,4400-4600 m,4900.0,
1980.0,4400-4600 m,5100.0,
1980.0,4400-4600 m,5300.0,
1980.0,4400-4600 m,5500.0,
1980.0,4400-4600 m,5700.0,
1980.0,4400-4600 m,5900.0,
1980.0,4400-4600 m,6100.0,
1980.0,4400-4600 m,6300.0,
1980.0,4400-4600 m,7100.0,
1980.0,4600-4800 m,3500.0,
1980.0,4600-4800 m,3700.0,
1980.0,4600-4800 m,3900.0,
1980.0,4600-4800 m,4100.0,
1980.0,4600-4800 m,4300.0,
1980.0,4600-4800 m,4500.0,
1980.0,4600-4800 m,4700.0,35.44478723152532
1980.0,4600-4800 m,4900.0,
1980.0,4600-4800 m,5100.0,
1980.0,4600-4800 m,5300.0,
1980.0,4600-4800 m,5500.0,
1980.0,4600-4800 m,5700.0,
1980.0,4600-4800 m,5900.0,
1980.0,4600-4800 m,6100.0,
1980.0,4600-4800 m,6300.0,
1980.0,4600-4800 m,7100.0,
1980.0,4800-5000 m,3500.0,
1980.0,4800-5000 m,3700.0,
1980.0,4800-5000 m,3900.0,
1980.0,4800-5000 m,4100.0,
1980.0,4800-5000 m,4300.0,
1980.0,4800-5000 m,4500.0,
1980.0,4800-5000 m,4700.0,
1980.0,4800-5000 m,4900.0,34.684068985585824
1980.0,4800-5000 m,5100.0,
1980.0,4800-5000 m,5300.0,
1980.0,4800-5000 m,5500.0,
1980.0,4800-5000 m,5700.0,
1980.0,4800-5000 m,5900.0,
1980.0,4800-5000 m,6100.0,
1980.0,4800-5000 m,6300.0,
1980.0,4800-5000 m,7100.0,
1980.0,5000-5200 m,3500.0,
1980.0,5000-5200 m,3700.0,
1980.0,5000-5200 m,3900.0,
1980.0,5000-5200 m,4100.0,
1980.0,5000-5200 m,4300.0,
1980.0,5000-5200 m,4500.0,
1980.0,5000-5200 m,4700.0,
1980.0,5000-5200 m,4900.0,
1980.0,5000-5200 m,5100.0,37.54306586392329
1980.0,5000-5200 m,5300.0,
1980.0,5000-5200 m,5500.0,
1980.0,5000-5200 m,5700.0,
1980.0,5000-5200 m,5900.0,
1980.0,5000-5200 m,6100.0,
1980.0,5000-5200 m,6300.0,
1980.0,5000-5200 m,7100.0,
1980.0,5200-5400 m,3500.0,
1980.0,5200-5400 m,3700.0,
1980.0,5200-5400 m,3900.0,
1980.0,5200-5400 m,4100.0,
1980.0,5200-5400 m,4300.0,
1980.0,5200-5400 m,4500.0,
1980.0,5200-5400 m,4700.0,
1980.0,5200-5400 m,4900.0,
1980.0,5200-5400 m,5100.0,
1980.0,5200-5400 m,5300.0,24.307011128710204
1980.0,5200-5400 m,5500.0,
1980.0,5200-5400 m,5700.0,
1980.0,5200-5400 m,5900.0,
1980.0,5200-5400 m,6100.0,
1980.0,5200-5400 m,6300.0,
1980.0,5200-5400 m,7100.0,
1980.0,5400-5600 m,3500.0,
1980.0,5400-5600 m,3700.0,
1980.0,5400-5600 m,3900.0,
1980.0,5400-5600 m,4100.0,
1980.0,5400-5600 m,4300.0,
1980.0,5400-5600 m,4500.0,
1980.0,5400-5600 m,4700.0,
1980.0,5400-5600 m,4900.0,
1980.0,5400-5600 m,5100.0,
1980.0,5400-5600 m,5300.0,
1980.0,5400-5600 m,5500.0,-14.137534005964554
1980.0,5400-5600 m,5700.0,
1980.0,5400-5600 m,5900.0,
1980.0,5400-5600 m,6100.0,
1980.0,5400-5600 m,6300.0,
1980.0,5400-5600 m,7100.0,
1980.0,5600-5800 m,3500.0,
1980.0,5600-5800 m,3700.0,
1980.0,5600-5800 m,3900.0,
1980.0,5600-5800 m,4100.0,
1980.0,5600-5800 m,4300.0,
1980.0,5600-5800 m,4500.0,
1980.0,5600-5800 m,4700.0,
1980.0,5600-5800 m,4900.0,
1980.0,5600-5800 m,5100.0,
1980.0,5600-5800 m,5300.0,
1980.0,5600-5800 m,5500.0,
1980.0,5600-5800 m,5700.0,-45.47409560719277
1980.0,5600-5800 m,5900.0,
1980.0,5600-5800 m,6100.0,
1980.0,5600-5800 m,6300.0,
1980.0,5600-5800 m,7100.0,
1980.0,5800-6000 m,3500.0,
1980.0,5800-6000 m,3700.0,
1980.0,5800-6000 m,3900.0,
1980.0,5800-6000 m,4100.0,
1980.0,5800-6000 m,4300.0,
1980.0,5800-6000 m,4500.0,
1980.0,5800-6000 m,4700.0,
1980.0,5800-6000 m,4900.0,
1980.0,5800-6000 m,5100.0,
1980.0,5800-6000 m,5300.0,
1980.0,5800-6000 m,5500.0,
1980.0,5800-6000 m,5700.0,
