Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,47.98479054621484,40.22475871719257,51.30020665043975,56.553785930537515,61.0593577103784,46.21493396746658,61.37532935566253,70.92323784027963,-27.24731527497235
1981,46.297581823516694,39.76863323515454,48.7200584927856,54.221133585983694,58.20699435325194,46.52407787724405,58.850842401928674,68.1453659583141,-25.72361678657835
1982,56.916364948241885,52.39421086581274,58.710182174029,62.75396924715437,70.19786253327428,59.842104353917875,70.91268142284935,80.01238552475616,-23.335112137096182
1983,50.54554988819996,38.769282385526616,54.98785984398569,61.262854051799025,64.70272604796948,45.66778902491865,66.24225961837072,75.2341712344512,-28.008748922668826
1984,64.07954315699847,49.51107594496108,69.0685568857673,78.06452704362039,78.73693045357076,59.051558163495486,83.63157414259996,96.89068541435773,-22.873738754128837
1985,38.2768669605248,21.21270389663806,45.98499790831784,50.22051460816536,50.05560937574628,25.827817396142336,54.66838655271445,63.54873921751245,-30.77248309629852
1986,55.21596406673183,50.59195360126273,57.23065415130699,62.290643200815225,70.28989069984793,57.2401872958844,69.27676068867493,78.278115427128,-27.299942847863857
1987,58.47513029826667,39.01243104861146,67.3186369274768,72.73515149321565,75.55324976966047,46.277658475255976,78.71579848570201,89.92233525820586,-29.205782670823275
1988,77.09601044864769,68.80070835714238,79.60125913822895,89.54977887277899,95.12805082145078,79.8995119291086,94.74543211817122,109.86784215357676,-23.389070676766988
1989,70.49102743753491,65.90173453678493,71.58003860522332,76.00400625447662,86.68986536015444,77.00619353239551,87.1486069628536,95.83556038046623,-22.979999741063196
1990,49.88784422893457,38.03288592455044,52.70443773173861,61.88259653776856,62.831320948004944,45.9992285719469,63.734095745597756,76.19186201689115,-25.945151407368282
1991,41.52300231223069,37.23069912887672,42.75657364328936,46.99979914796256,54.09425450836443,42.455551897592386,52.49103210248734,60.45893262931759,-30.275393146197295
1992,69.6218886493282,61.453999199413715,71.59067052393478,81.49459978220113,86.57811195297585,71.74022021789958,86.51182426096591,101.85868007789034,-24.3547304340616
1993,68.3435830335784,61.91523218258601,70.7996560772616,76.68947025700174,85.50715582763031,73.90605110373667,84.94055177685107,96.46384103346318,-25.113656662715368
1994,71.29505026960334,65.39669271061365,72.85521337635294,77.12097415731239,88.7026883820263,77.79674642935618,87.93541460511744,98.60537590018316,-24.416334719723842
1995,42.89727243116782,37.454234894803335,44.007611188479814,49.24629122947613,55.62612693491219,42.62547417645497,53.52036972108829,63.38243542982107,-29.672876111569945
1996,61.75238951766127,48.38146678531393,65.01704462071677,75.04270405433977,76.38700948393058,56.010533060273076,76.70227748997593,94.24631401010828,-23.69887235227157
1997,39.36774033598901,35.3138599650822,40.10733522379121,44.00663968398925,52.20051545687359,40.49363750444627,48.74616856994203,55.427585717087595,-32.59718493202883
1998,57.66228022070003,35.425117309365305,61.164145720144916,73.40510520373141,76.1388082836662,41.714154641007326,74.56788439574643,94.25187571182096,-32.04265941660071
1999,61.75224636536838,52.83268049482331,63.36362961004306,70.68717872641798,80.07647033243447,61.59507188302071,77.77431321628205,89.33016316921066,-29.673777142690795
2000,64.93139573828789,57.95436609440844,66.6888063546943,72.93681739322085,84.1051460969748,66.04711393013508,81.36021995401961,93.15026199304975,-29.529244120929164
2001,35.7569902377645,23.184400058578035,38.30669210622432,44.16007875639218,52.26197076055638,27.987453228468894,46.368174107372624,56.99054588851368,-46.15875221331911
2002,59.44464458063325,46.52834414861081,62.24581977578919,73.0334183481242,78.90527745632437,54.56272025039152,75.81698906574093,91.31809144892594,-32.73740302928812
2003,67.77096883273724,54.23444103127099,69.08630136637763,83.3297987501881,82.73979843675276,65.02697344422037,83.21152940919788,100.58306056499845,-22.08737732665187
2004,50.085301114246654,37.028094297184,54.6310305036111,61.887080922522046,65.30376408666548,45.68582003996755,64.4668369345411,78.28279293386254,-30.385088307053554
2005,48.69667294280864,38.86742529529943,50.02486562925054,59.18204129618016,64.40104769539927,45.640556911327224,60.45026740552487,74.10810240701392,-32.2493792769645
2006,40.037423824531885,27.743850793008505,45.45846084097184,50.53204621676741,55.40922284461889,33.883257680551765,53.00350780543886,64.19849443425596,-38.39357668828569
2007,50.47270514613431,29.688901447138733,53.42613025259857,65.63401526189648,67.09272858884337,35.274168976179226,65.43083954094004,84.28626431354155,-32.92873523340496
2008,31.120861089523082,25.765167691547276,31.987180869311942,35.9890234985138,46.698456086649564,30.734177430024715,38.60232931359428,46.67769814211579,-50.05515416914097
2009,61.49262727176727,44.72793779316231,67.27250007540698,76.32677323743849,76.53244699523387,53.295030881936555,81.26746493744014,93.94888221092424,-24.45792347917861
2010,49.92339863187778,38.26470227191771,53.513833629536975,60.295990264898364,66.1912643025769,45.89364119276115,65.25374149619233,76.0291889063933,-32.5856534541104
2011,38.99820256993513,22.27228035500957,43.54076456001076,51.18691186454248,55.33983978023225,27.19598092958927,52.793595042323886,64.7004421196134,-41.90356512198321
2012,42.566263576769906,25.416662568977017,48.33456424657106,54.92403035179723,59.485783089295964,31.486594323314876,57.71108462485199,69.23250582804872,-39.74866030232991
