Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,9.737236101951064,7.443044713995363,8.226890824928468,9.852851713187704,12.418536346299925,9.332753393373537,10.598157733740749,12.814926660372251,-27.53656393121997
1981,20.054285762613944,16.677770943453037,18.369295148957164,20.873786977565004,25.641582118009197,21.01642609141637,23.549014415950197,27.41047759641059,-27.86085937705174
1982,21.397857127658888,17.838624297348844,20.045802498786898,23.180503206175466,27.37630674724954,22.518550358069525,25.69787644587541,30.26290681329114,-27.93947816326723
1983,15.555214753735175,11.672182634338206,13.271075196544423,15.982222191571772,19.836757881070493,14.796952558023527,17.055006357056325,20.819710789128294,-27.52480885103783
1984,13.59255242093082,10.267901143503153,11.854350268545545,14.70941327028902,17.363723733932215,12.881082945441989,15.305943193309531,19.162711556113152,-27.744394108004222
1985,9.003085182530683,6.575092626082466,7.1721958579269085,8.339130456149483,11.48354892931639,8.214727021831294,9.24477661608185,11.327228224791497,-27.551263777859724
1986,12.27885140345975,8.231144033041772,9.232945817915876,11.383805283485204,15.61623891050819,10.253900406416383,11.839807458274493,15.425993265045147,-27.179964944496437
1987,39.648958485551745,35.26863945506686,38.10265413235541,42.0896361943782,50.87436575560385,44.40256789435071,48.89263446694025,55.09588439853458,-28.311985229426394
1988,28.522157905126942,23.621265762078206,27.049694040688536,30.461977094056277,36.45754778279646,29.867124032947473,34.205668449479916,39.617452060916534,-27.821842597126324
1989,14.949288130493109,11.587709521866703,13.221405170057153,16.68867376331417,19.10632383741316,14.714376156517016,17.0231714006375,21.561758502515147,-27.8075830141997
1990,16.169531116464217,11.077871618031285,12.601618674285579,15.801872760521853,20.600855682325932,13.912814319854526,16.27117824602469,21.026329749501905,-27.405399290449182
1991,20.770546769574263,17.326270564418635,19.701765765078804,23.169195433817926,26.55712861761573,22.060108141132222,25.093580562058918,29.691326781458642,-27.8595547446862
1992,26.82298052411373,19.80254534765014,24.956224933432477,30.66743929201081,34.39364987568912,25.214905225921463,32.15016334690657,39.98522940903243,-28.22456417461927
1993,29.461594114196316,25.41899535422148,28.074135358553683,31.47038153027611,37.81272838369457,32.11178496485422,35.90634774658335,41.24318155579884,-28.345833009330978
1994,15.150440919107481,10.148051336838506,11.42936727893252,14.015202949072076,19.307877391037195,12.713938943220143,14.615952327155469,19.027481064183817,-27.44102626534881
1995,17.569944944110617,12.671013969006836,16.183439455319956,20.589586641420425,22.436494290721967,16.224446003197343,20.631564588348397,26.487021797033552,-27.698147957152976
1996,36.58648675252161,27.24472964086649,32.28747036460055,43.16060990426513,46.98963472951558,34.34125669263892,42.62515829648726,55.95303242903695,-28.434399966746415
1997,10.013670061859976,7.372751624961509,8.193171478123944,9.879184289644044,12.779571880658942,9.245987006899558,10.575185280407311,13.106787337905118,-27.621259755026717
1998,16.307204179376217,10.776828524857967,12.900437205259607,17.32347530601655,20.793629910964025,13.578239786348774,16.590615439161617,22.493291592060174,-27.51192468210175
1999,14.324034870222524,10.073210139173273,11.43424654602697,14.191466104732527,18.24475003839573,12.560398285124837,14.63391752669267,18.9892050325646,-27.37158352164093
2000,12.180588624447207,9.289967967463589,10.301146863664144,12.785474980950113,15.522545183116856,11.60283823298129,13.301881867961292,16.50497739290969,-27.43674104518117
2001,14.664052426161884,12.000653536215964,13.93155522263843,16.433075038571584,18.738636484099754,15.032006219339046,17.815506862083314,21.160945817543737,-27.78620765612645
