Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,52.32824717594427,46.322714953036666,53.12053924471559,58.97113932914385,63.89681232277253,54.95118582386158,63.64896469379778,73.62498556828064,-22.107687092842674
1981,48.723733885438186,36.115290837401176,46.66748438436798,59.40138073280656,59.37993873069622,44.345756789956795,56.56023698810668,71.97249342092749,-21.870665475499564
1982,48.897075974539746,36.64248961984413,47.82672823932239,59.80235252293892,59.539522574785025,44.73467683095595,56.73144922289896,73.06713098680501,-21.764995939195785
1983,36.99982013224538,32.802242098165095,36.72458795175487,41.49677204328407,45.26601056239349,38.89399866365113,44.73004185713012,51.178248395289984,-22.341163823504353
1984,46.83561502854611,41.07830603124694,48.65755154744028,54.707300369517725,57.08279604760458,49.01597009868374,58.23799028183652,66.69260697923528,-21.87903588500255
1985,35.046520451158656,27.54346222942604,34.58197052143305,40.99465094263144,42.86614521575159,33.78289256198457,41.53086540056694,50.19878094174999,-22.312128747529304
1986,49.88388571126462,45.425709774731786,50.888662824378116,55.821343976079675,60.89065266678691,53.806485509878826,61.22133572030589,68.49021654389992,-22.064774623271898
1987,47.860062425626076,41.8676203098554,46.828745039336695,52.679946203237876,58.59751569125037,50.75193270939337,57.38426895687064,64.55581693988586,-22.435100836545985
1988,58.58636313186863,49.73362822930898,59.19864904541873,68.1714037802056,71.40219808490129,59.34380917136005,71.21776071514279,82.44547268451797,-21.87511609857915
1989,58.69955228055921,48.01343117182353,57.556827925733046,67.82750030303782,71.48889382841661,57.88635870208458,69.51248228947412,82.31632396212439,-21.78780084510439
1990,38.82289698185473,31.05452664381346,37.34388210568852,45.877628443415745,47.42764111947728,37.44069218069296,45.45478156864522,55.73398835487728,-22.164095949982965
1991,42.68784530276074,29.117533517017364,41.31314771468874,53.480586361071914,52.03510886857979,36.37768182463526,50.42518383457582,65.40334714614102,-21.896779983911042
1992,56.70211179462105,47.36936157399339,58.18319717349388,66.42953916575027,69.16611579729152,57.07344243335484,69.4956960512773,81.08933455231923,-21.981551670976085
1993,58.1672472859285,48.17781780724161,60.28372935895045,69.14461905390156,71.00449216513634,59.30770960740608,71.67081014233548,83.7139841141646,-22.069541671971372
1994,52.51023868681178,39.576962455668195,51.02839340288301,64.17157617147507,63.79712402373646,46.812918640223984,61.46153125381613,77.21789405791299,-21.494637273012863
1995,34.10741415959682,25.33307386312481,31.82628410372388,40.91064617866414,41.65018299372387,31.27663774679013,38.723740600374754,50.23068265814538,-22.114748420479447
1996,47.22598791650763,36.58085265243267,45.18762417339326,55.86168673393087,57.49477747843271,43.68392552603143,54.793007987745455,68.20847098158276,-21.74393806240409
1997,31.57533559209444,22.255387430850988,30.08078076368531,39.166861128146934,38.50278892714998,27.273427750871406,36.05633728159137,47.48762935698289,-21.939444839309186
1998,36.32236856805815,26.033581046055644,33.534653730754826,42.50968461922457,44.32758069443653,31.678964728554774,41.04737518087677,52.91910113829056,-22.039345015118105
1999,53.68937647419219,42.699624526318075,51.66982719964608,61.69282236544382,65.30597875874122,51.017101125153715,62.75524343502468,75.8054391390308,-21.636686896767678
2000,62.54678273652932,56.69616071056683,64.08367855490553,70.14618274845009,76.31948733102028,67.59926151469313,76.82348362309244,87.04879217834332,-22.01984497349061
2001,33.79387736560793,25.337427181180942,31.116694379996716,38.68802289074438,41.301854729390676,30.77741421775056,37.51781930829475,47.91920556307252,-22.216975230614988
2002,45.553605006594125,33.268119750818414,42.63529230091285,55.44858233905336,55.467911102198244,40.34723893030764,51.027916402803555,67.32538841006328,-21.76404281103055
2003,48.33557510973465,38.207197797429785,48.82238325921844,58.91677305141013,58.86499466881216,46.55941270379128,58.1715707927159,71.0379115174402,-21.783995608145148
2004,39.07199220402456,28.953359476416153,37.28611569817099,47.13228900628167,47.63844938439087,35.088558836121365,45.51572785315193,57.4048972894841,-21.924802645416964
2005,42.62709807501996,31.279809286947625,41.16156705493711,51.68922218309251,51.98803209034578,38.402138419591665,49.85050523432051,62.9303399986801,-21.960054608573575
2006,35.00824296879828,26.374778588763093,33.218415679636564,40.3782488251062,42.789327914530666,31.541233345799583,40.38758670028096,50.053493109612646,-22.226436649980386
2007,33.03429681854216,22.47663722409942,28.738751596878046,39.03657229099906,40.2252286280419,27.114692170111425,35.14014231771944,48.6511945892189,-21.768078942313807
2008,32.30854155321535,26.076958450779784,30.296656951241857,35.27131892824491,39.601088728500095,31.57044192533317,36.84500291772247,44.78947172499693,-22.571576507939774
2009,58.647646711911385,47.97561763791725,58.57069581900532,67.4153162339739,71.47006066362347,58.082867743270384,70.00892758208926,83.45507701339716,-21.8634756390091
2010,56.7310347672112,42.95024729714953,54.56875801341175,67.4407048884259,69.22445677527115,52.01478628638688,65.69386706091791,83.220369528589,-22.022200122602985
2011,36.23949311027782,25.287164362328326,32.78745126491367,43.12634550595385,44.23564210856238,30.620441024147453,40.19522410323452,52.61786224748198,-22.064737423205184
2012,30.297473235586725,23.492582869101398,27.83352969403677,34.03703475901159,37.07247933977313,28.117388127024924,33.83283538615751,42.85756676932738,-22.361620889980415
2013,44.33301698607982,34.127567634749084,43.283637432246564,53.26332374171409,53.94481441010272,41.30973187726113,51.6929567720141,64.01118619426722,-21.680900776592082
2014,39.65003379553579,30.492467114200736,38.15938654664046,47.30104981846762,48.315770344983555,36.46895264344391,45.58587998486041,57.1233393602696,-21.85555904979386
2015,58.930758146248856,49.84020464553669,58.51020680175509,67.74969211665803,71.96337328394321,59.49437831356363,70.64690748446083,82.69888425398563,-22.115132314011653
2016,41.0626978174842,28.301689226753524,35.53197206889445,48.14015044621942,50.062496518220165,34.344957426273595,43.11759984547098,59.42992945920662,-21.917212407078356
2017,46.38523092048146,33.99796099330092,44.41387390705063,56.47918615373328,56.59706457683387,41.92463714489759,54.325353738719286,69.46772723506695,-22.015269631528646
2018,35.950877775309195,27.12753666155777,32.774006518308624,41.20693780731301,43.89474060766223,32.68284290164388,39.956283626719596,51.35199215911962,-22.09643637076255
2019,64.40122577764915,56.45483671865031,64.95659374704485,71.70532322920224,78.67743068948265,67.4123532786283,77.40686484952653,89.11152094876638,-22.167598115480168
