Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,54.18398050673527,47.768379700148245,53.90487160672967,59.83228469497439,65.04397654317717,54.724419964362724,63.14966918386486,73.19702482289485,-20.042816963384148
1981,50.36937544591624,41.856724813753004,49.019638355287924,57.509245896646206,60.52950323681125,47.73285837413326,58.0968747529749,70.4007863475283,-20.171240363707057
1982,55.562179780428174,43.417799760350306,53.67996500687633,66.84856903260845,66.93695169178915,50.612246081742,64.6625738809542,80.42047881339379,-20.47214842238163
1983,51.073527316787576,43.40729992321123,49.22286740483463,57.30156091308858,61.60254621702871,50.492130133455404,59.568276196657905,69.3091446826352,-20.615413607391673
1984,59.99016228927828,54.50832153776435,59.60313518317891,65.20914658821212,72.07122685584955,62.416622487890386,70.49146322268302,79.76739106828919,-20.13840954174122
1985,46.98976374929182,35.31702476886614,43.11044484619319,58.34284677208781,56.535927437679725,41.17216735487955,51.14312930053643,68.21544810575536,-20.315411116597872
1986,55.71716126410143,50.94988599271656,55.34607896310348,60.289740966536186,66.87865749591242,58.68032919865884,65.18472588191227,73.90530438490524,-20.03242085307233
1987,68.39167365840768,52.70253692046981,60.70229822758597,85.70732822480375,82.32244051584523,61.48518453620696,75.85942002331598,99.88298892752908,-20.369097745751375
1988,77.15620418987697,68.76197635338596,76.95450736003875,84.68599210719873,93.3930227088065,78.95113692497276,89.93391858528557,104.43901474681809,-21.044086719157985
1989,66.83287113777732,56.033538707806414,65.45500851410563,77.11417560771105,80.48877404669857,65.19819981682399,78.15355162598271,92.39025070238344,-20.43291373906133
1990,51.735309248172335,43.737297833464964,51.6024573162623,59.715682105877306,62.48876880684686,49.788536005698774,60.74833043159788,72.66386506059797,-20.78553257909288
1991,45.116264548520725,33.3637462551342,42.893575288907016,54.65216365500211,54.43967525079214,38.77250801046603,50.5494617790975,65.82998875376063,-20.6652984141523
