Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,52.02476824108535,47.905039877284736,52.020652640672836,54.50393248715909,61.35607386449068,52.79746273829042,60.78012426271388,67.64892433181723,-17.936275237522302
1981,46.639561967916805,41.878168639151085,45.408436685238996,51.381386036864214,55.08586640232376,46.2813752297609,53.68261870488243,63.601224901964684,-18.109742197441637
1982,55.73526568151668,47.63341664628166,53.72156394391021,62.045003106835225,65.67983179488265,51.279453171416634,65.82465394689478,78.43631029050434,-17.842502393709168
1983,55.76536117198704,51.839445092568724,55.59030098523232,58.619751060947124,65.67289973839694,57.5082463881522,63.86054417348507,72.30736053347542,-17.76647430983669
1984,69.84950446259602,64.32554053018555,70.51853917287261,74.52494349161135,82.19508759676428,71.15114700207711,80.11986385612784,89.76082104394652,-17.674546482685606
1985,44.422927401194336,40.291139696599714,43.52170827379649,48.74482670594152,52.40291602015586,46.664754290044925,49.62440256452928,56.71447600524641,-17.963671207192423
1986,60.485626035151945,56.90382452908588,60.411310848994276,64.21073415674263,71.25884376482705,61.90806849780449,70.2567419346625,78.19324403290955,-17.81120315000615
1987,65.10888313056353,59.99041057666,64.46912564488758,69.79167193287569,76.50291167927483,68.36518958549789,72.93447574738161,82.59170007842482,-17.499960068216147
1988,79.97332596504098,72.47112420335134,79.4538550791831,87.18605931840622,94.34466223554176,80.15509639598,94.768783401445,104.69073562626782,-17.970162047257855
1989,72.07548073958874,65.23513046416471,70.43326299270116,78.20547154407578,84.80459315046453,71.64866266127,86.08326415871562,95.23564078227163,-17.660808197541343
1990,51.36937514344529,45.03098236053924,49.79626148897029,57.20694324193198,60.54858468723677,50.45748098623835,58.80605664224947,69.9457021910305,-17.869030951141628
1991,36.88371795050488,29.865937368446083,34.61815200057356,42.12726611849217,43.97614763578018,34.04944380391434,41.65157011759561,52.74435174685685,-19.229161482016544
1992,70.89646469338578,63.82257767703092,70.33078501793511,77.9137713191013,83.61221138687318,70.36391565320224,83.75363491400958,94.82720060737427,-17.93565694492596
1993,71.00201728912647,62.9534025962931,70.38289382219688,78.35913860165198,84.00092946628665,69.02336731853154,85.08187548197483,96.5222336025986,-18.307806839101893
1994,73.64115382516574,66.66768476641579,71.72568894098362,78.95673918581863,86.54744902650636,71.26866501292926,87.25747309168833,97.16895056764139,-17.52592746167554
1995,43.20705757712346,38.44568201735888,41.449875265694175,46.166884743675325,51.29879053904747,42.0488677962129,50.54212519099548,58.50316585314144,-18.727803779461926
1996,63.90014918622207,57.49532088100975,62.297161367614166,68.7043730479624,75.0268055324676,63.3876570398954,73.38534897018252,84.91701342151596,-17.412567087783025
1997,37.27382825896478,31.425821533861267,35.749854617821484,40.822500689353774,44.635069693930134,35.151382186958955,42.58334930801834,51.833977970345586,-19.749088781063694
1998,59.23651032415967,52.151807083661225,57.9388863753926,64.09490658825075,70.07786109088735,58.700397388607286,65.51447506367197,78.58286696327335,-18.301805267392403
1999,62.805896504887365,54.99853340812365,60.89510095472838,67.42109476848745,74.26221358089614,59.32229918358968,74.41856350919682,85.72425297978847,-18.240830421258458
