Year,MC_mean_width,MC_q25_width,MC_q50_width,MC_q75_width,POST_mean_width,POST_q25_width,POST_q50_width,POST_q75_width,Reduction_mean_%
1980,22.67236103059015,10.496668034705891,22.39574149267324,30.43290332285835,28.56659318537639,14.063650940545728,27.649730231892306,37.88924289848393,-25.997434262943898
1981,25.515525028970853,21.10101685475692,24.908322202628028,29.11170849541014,32.03081768688408,26.680850481657785,30.909512304265306,35.785553476724616,-25.534621178730887
1982,33.48616539981173,29.063450261244952,32.112912310567296,36.51458787040216,41.96661695149203,35.62321806682283,40.30614929420709,46.35782527827682,-25.32523939491358
1983,20.57129869010419,13.712282656247652,21.430342631909184,24.659919437393725,26.114218424464646,18.25374407198762,26.142119851546056,30.625944947095313,-26.94491883016412
1984,17.22568939648687,13.83904881259275,15.629726604387088,20.226281208050935,22.38800904969857,17.000231943191352,20.161624267201773,24.825286022603166,-29.968725978904764
1985,25.889575911174838,9.530852748122754,26.69648658013685,37.244237024942606,32.47273420394469,12.817316531098243,32.46563935677344,45.90563696981863,-25.427833639897823
1986,23.95935048458623,11.426143680829284,25.392522696116394,31.337671778755606,30.05799472490861,15.095360113812635,30.877029995117198,38.911538993826184,-25.454130086892658
1987,36.684819967111224,30.171016841756156,37.116322313689395,42.340729758175115,46.165909658904766,37.42370595506094,45.72933081118954,53.462862683728005,-25.844721877583954
1988,25.071800306053337,20.583494057886785,23.48739952171516,28.394963275630772,31.724669733606863,25.599069683981725,29.816143005821328,35.3008444925142,-26.535268095390798
1989,29.087947312522974,16.7505562185828,30.100316172181607,38.04081412426436,36.420460765951574,22.295032082857873,37.173779171674525,47.181618385213085,-25.208081459466026
1990,26.44353260670792,18.777278327108036,25.49608794263483,31.856621285920728,33.24879373327324,24.295221799319947,31.186916490375076,39.170650390459095,-25.735068108251834
1991,20.02036948732841,17.535256107087548,19.772790980450253,21.954585441468808,25.38293907854098,21.623600840271592,24.680107944031533,27.821734444237904,-26.785567542124845
