RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success
RGI60-13.44959,geodetic_temp_bias,-503.8,-5.424776880177692,7.239245767688498,5.0,2000-01-01_2020-01-01,True
RGI60-13.44971,geodetic_temp_bias,-860.4000000000001,-1.8204893201270824,4.131658622019379,6.473118594128644,2000-01-01_2020-01-01,True
RGI60-13.44973,geodetic_temp_bias,-772.3,-1.8204893201270824,4.131658622019379,5.834516251807423,2000-01-01_2020-01-01,True
RGI60-13.44974,geodetic_temp_bias,-433.7,-1.8204893201270824,4.238349955703542,5.0,2000-01-01_2020-01-01,True
RGI60-13.44975,geodetic_temp_bias,-845.0999999999999,-1.8204893201270824,4.131658622019379,5.295302967399152,2000-01-01_2020-01-01,True
RGI60-13.44986,geodetic_temp_bias,181.9,-5.424776880177692,5.039093141488637,6.37152853794168,2000-01-01_2020-01-01,True
RGI60-13.44990,geodetic_temp_bias,137.3,-5.424776880177692,6.729773071948992,5.0,2000-01-01_2020-01-01,True
RGI60-13.44992,geodetic_temp_bias,-14.9,-5.424776880177692,7.558639712232955,4.049526066301819,2000-01-01_2020-01-01,True
RGI60-13.44993,geodetic_temp_bias,-98.0,-5.424776880177692,5.444772226375039,5.0,2000-01-01_2020-01-01,True
RGI60-13.44996,geodetic_temp_bias,-702.2,-2.0762989735470643,7.448755785712486,3.563604363578001,2000-01-01_2020-01-01,True
RGI60-13.45274,geodetic_temp_bias,-551.8,-2.1626898315564644,4.317160382517212,5.0,2000-01-01_2020-01-01,True
RGI60-13.45281,geodetic_temp_bias,-137.3,-2.1626898315564644,5.768155357760322,2.573779637284664,2000-01-01_2020-01-01,True
RGI60-13.45301,geodetic_temp_bias,-869.0,-2.1626898315564644,3.8454369051735484,6.345639992518596,2000-01-01_2020-01-01,True
RGI60-13.45322,geodetic_temp_bias,-653.4,-2.1626898315564644,4.882971265488967,5.0,2000-01-01_2020-01-01,True
RGI60-13.48092,geodetic_temp_bias,-315.8,-5.424776880177692,7.558639712232955,4.751848472210667,2000-01-01_2020-01-01,True
RGI60-13.48093,geodetic_temp_bias,-396.4,-5.424776880177692,7.558639712232955,4.985715187630262,2000-01-01_2020-01-01,True
RGI60-13.48094,geodetic_temp_bias,-312.2,-5.424776880177692,5.852060483151046,5.0,2000-01-01_2020-01-01,True
RGI60-13.48095,geodetic_temp_bias,-519.2,-5.424776880177692,7.558639712232955,4.878845009069224,2000-01-01_2020-01-01,True
RGI60-13.48096,geodetic_temp_bias,-365.5,-5.424776880177692,5.701008452288286,5.0,2000-01-01_2020-01-01,True
RGI60-13.48097,geodetic_temp_bias,-542.3,-5.424776880177692,6.1268442309605184,5.0,2000-01-01_2020-01-01,True
RGI60-13.48098,geodetic_temp_bias,-826.7,-5.424776880177692,5.06728438060964,5.0,2000-01-01_2020-01-01,True
RGI60-13.48099,geodetic_temp_bias,-620.1999999999999,-5.424776880177692,5.039093141488637,5.441813333178993,2000-01-01_2020-01-01,True
RGI60-13.48100,geodetic_temp_bias,-442.7,-5.424776880177692,7.558639712232955,3.976927858827636,2000-01-01_2020-01-01,True
RGI60-13.48101,geodetic_temp_bias,-460.2,-5.424776880177692,6.378808557563569,5.0,2000-01-01_2020-01-01,True
RGI60-13.48102,geodetic_temp_bias,-360.4,-5.424776880177692,5.039093141488637,5.300105394936186,2000-01-01_2020-01-01,True
RGI60-13.48103,geodetic_temp_bias,-538.3,-5.424776880177692,6.3679157992373625,5.0,2000-01-01_2020-01-01,True
RGI60-13.48104,geodetic_temp_bias,-621.6,-5.424776880177692,6.1903873646259635,5.0,2000-01-01_2020-01-01,True
RGI60-13.48105,geodetic_temp_bias,-545.6,-5.424776880177692,7.558639712232955,3.6374312905563175,2000-01-01_2020-01-01,True
RGI60-13.48106,geodetic_temp_bias,-1087.8000000000002,-5.424776880177692,5.039093141488637,5.413516333731324,2000-01-01_2020-01-01,True
RGI60-13.48107,geodetic_temp_bias,29.5,-1.8204893201270824,4.131658622019379,5.882138748701595,2000-01-01_2020-01-01,True
RGI60-13.48108,geodetic_temp_bias,-206.5,-1.8204893201270824,4.131658622019379,11.152523656014678,2000-01-01_2020-01-01,True
RGI60-13.48109,geodetic_temp_bias,-1101.6,-1.8204893201270824,4.131658622019379,7.080955236711911,2000-01-01_2020-01-01,True
RGI60-13.48110,geodetic_temp_bias,-309.0,-1.8204893201270824,4.131658622019379,11.191842874220335,2000-01-01_2020-01-01,True
RGI60-13.48111,geodetic_temp_bias,-191.3,-5.424776880177692,7.558639712232955,3.2524948448571616,2000-01-01_2020-01-01,True
RGI60-13.48112,geodetic_temp_bias,294.59999999999997,-5.424776880177692,7.558639712232955,2.9133086490258067,2000-01-01_2020-01-01,True
RGI60-13.48113,geodetic_temp_bias,415.8,-6.427227343036781,7.558639712232955,1.5,2000-01-01_2020-01-01,True
RGI60-13.48114,geodetic_temp_bias,-523.2,-1.8204893201270824,4.131658622019379,11.01292088236066,2000-01-01_2020-01-01,True
RGI60-13.48115,geodetic_temp_bias,-340.1,-1.8204893201270824,4.131658622019379,6.778391836046682,2000-01-01_2020-01-01,True
RGI60-13.48116,geodetic_temp_bias,-562.3000000000001,-1.8204893201270824,4.131658622019379,5.78368079886405,2000-01-01_2020-01-01,True
RGI60-13.48117,geodetic_temp_bias,-1068.8,-5.424776880177692,5.039093141488637,7.344100635846169,2000-01-01_2020-01-01,True
RGI60-13.48118,geodetic_temp_bias,-1176.1999999999998,-1.8204893201270824,4.131658622019379,7.6169455444102026,2000-01-01_2020-01-01,True
RGI60-13.48119,geodetic_temp_bias,-412.4,-1.8204893201270824,4.131658622019379,14.734227279438636,2000-01-01_2020-01-01,True
RGI60-13.48120,geodetic_temp_bias,-204.65888913841167,-5.424776880177692,7.558639712232955,3.395303111450934,2000-01-01_2020-01-01,True
RGI60-13.48122,geodetic_temp_bias,-728.0,-2.0762989735470643,7.448755785712486,2.935124944149477,2000-01-01_2020-01-01,True
RGI60-13.48123,geodetic_temp_bias,-1083.8000000000002,-2.0762989735470643,7.448755785712486,4.145037086133135,2000-01-01_2020-01-01,True
RGI60-13.48124,geodetic_temp_bias,-376.59999999999997,-2.0762989735470643,7.448755785712486,2.338777611980338,2000-01-01_2020-01-01,True
RGI60-13.48125,geodetic_temp_bias,-363.8,-2.0762989735470643,7.448755785712486,2.6352159944187923,2000-01-01_2020-01-01,True
RGI60-13.48126,geodetic_temp_bias,-234.9,-2.0762989735470643,7.448755785712486,2.3191330858832298,2000-01-01_2020-01-01,True
RGI60-13.48127,geodetic_temp_bias,-394.2,-2.0762989735470643,7.448755785712486,3.0875178399287635,2000-01-01_2020-01-01,True
RGI60-13.48128,geodetic_temp_bias,-679.2,-2.1626898315564644,3.8454369051735484,9.897986005160675,2000-01-01_2020-01-01,True
RGI60-13.48131,geodetic_temp_bias,-486.5,-2.1626898315564644,3.8454369051735484,13.060085100164377,2000-01-01_2020-01-01,True
RGI60-13.48132,geodetic_temp_bias,-1292.4,-2.1531459829510156,3.8454369051735484,17.0,2000-01-01_2020-01-01,True
RGI60-13.48133,geodetic_temp_bias,-1147.7,-2.1626898315564644,3.8454369051735484,7.952784472594429,2000-01-01_2020-01-01,True
RGI60-13.48134,geodetic_temp_bias,-458.2,-1.8981783626680053,3.8454369051735484,17.0,2000-01-01_2020-01-01,True
RGI60-13.48135,geodetic_temp_bias,-948.9,-2.1626898315564644,3.8454369051735484,6.999149535549953,2000-01-01_2020-01-01,True
RGI60-13.48136,geodetic_temp_bias,-305.59999999999997,-2.1626898315564644,3.8454369051735484,12.41842118211175,2000-01-01_2020-01-01,True
RGI60-13.48137,geodetic_temp_bias,-654.1,-2.1626898315564644,3.8454369051735484,6.844586863872474,2000-01-01_2020-01-01,True
RGI60-13.48138,geodetic_temp_bias,-1006.3,-2.1626898315564644,3.8454369051735484,8.060716306026519,2000-01-01_2020-01-01,True
RGI60-13.48139,geodetic_temp_bias,-858.7,-2.1626898315564644,3.8454369051735484,9.206308182551531,2000-01-01_2020-01-01,True
