RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success
RGI60-13.29876,geodetic_temp_bias,-432.2,-2.853417669005369,5.214319107163616,5.0,2000-01-01_2020-01-01,True
RGI60-13.29877,geodetic_temp_bias,-1087.5,-2.853417669005369,4.812565323309217,5.0,2000-01-01_2020-01-01,True
RGI60-13.29878,geodetic_temp_bias,-546.6999999999999,-2.853417669005369,6.291524691343588,5.0,2000-01-01_2020-01-01,True
RGI60-13.29880,geodetic_temp_bias,-807.5,-2.853417669005369,4.464329721747753,5.512655776218807,2000-01-01_2020-01-01,True
RGI60-13.29901,geodetic_temp_bias,-248.6,-2.9780616391748382,6.998053204726239,2.598660348693871,2000-01-01_2020-01-01,True
RGI60-13.29906,geodetic_temp_bias,-683.9,-4.025653091752772,4.4695731600375295,7.141281024629948,2000-01-01_2020-01-01,True
RGI60-13.29919,geodetic_temp_bias,-653.3,-4.025653091752772,5.9564426253231515,5.0,2000-01-01_2020-01-01,True
RGI60-13.30108,geodetic_temp_bias,-419.09999999999997,-5.625618264091382,5.735705934431315,5.0,2000-01-01_2020-01-01,True
RGI60-13.30120,geodetic_temp_bias,-423.70000000000005,-2.9780616391748382,5.981617080994245,5.0,2000-01-01_2020-01-01,True
RGI60-13.30133,geodetic_temp_bias,-733.4000000000001,-2.9780616391748382,4.665368803150826,5.1223755767597074,2000-01-01_2020-01-01,True
RGI60-13.30136,geodetic_temp_bias,-519.7,-2.9780616391748382,6.998053204726239,4.683334312870658,2000-01-01_2020-01-01,True
RGI60-13.30207,geodetic_temp_bias,-518.9,-5.625618264091382,4.465705248140563,6.071104282340107,2000-01-01_2020-01-01,True
RGI60-13.44129,geodetic_temp_bias,381.40000000000003,-5.365610242120874,4.465705248140563,17.0,2000-01-01_2020-01-01,True
RGI60-13.44130,geodetic_temp_bias,-395.7,-5.625618264091382,4.465705248140563,13.986879643686494,2000-01-01_2020-01-01,True
RGI60-13.44134,geodetic_temp_bias,-532.5,-5.625618264091382,4.465705248140563,13.303269092122447,2000-01-01_2020-01-01,True
RGI60-13.44136,geodetic_temp_bias,-60.6,-2.9780616391748382,4.665368803150826,5.570522010337558,2000-01-01_2020-01-01,True
RGI60-13.44143,geodetic_temp_bias,-329.7,-2.9780616391748382,6.3014382176549635,5.0,2000-01-01_2020-01-01,True
RGI60-13.44144,geodetic_temp_bias,595.6,-2.9780616391748382,6.998053204726239,3.8023214485615737,2000-01-01_2020-01-01,True
RGI60-13.44148,geodetic_temp_bias,-443.90000000000003,-5.485445222381461,4.9611754634757155,7.398057506709198,2000-01-01_2020-01-01,True
RGI60-13.44150,geodetic_temp_bias,-494.90000000000003,-5.485445222381461,5.256006259685734,5.0,2000-01-01_2020-01-01,True
RGI60-13.44159,geodetic_temp_bias,-908.9000000000001,-5.485445222381461,4.9611754634757155,5.333543963411315,2000-01-01_2020-01-01,True
RGI60-13.44160,geodetic_temp_bias,-890.8000000000001,-5.485445222381461,5.962285917655022,5.0,2000-01-01_2020-01-01,True
RGI60-13.44161,geodetic_temp_bias,-630.5,-3.8324803305325417,4.646567937680415,6.460975085314174,2000-01-01_2020-01-01,True
RGI60-13.44190,geodetic_temp_bias,-849.5,-3.8324803305325417,4.646567937680415,5.695107290410851,2000-01-01_2020-01-01,True
RGI60-13.44196,geodetic_temp_bias,-484.09999999999997,-3.8324803305325417,4.646567937680415,5.737837292558463,2000-01-01_2020-01-01,True
RGI60-13.44212,geodetic_temp_bias,-360.4,-3.8324803305325417,4.646567937680415,8.015153551080761,2000-01-01_2020-01-01,True
RGI60-13.44217,geodetic_temp_bias,-408.2,-3.4833091962150906,4.646567937680415,17.0,2000-01-01_2020-01-01,True
RGI60-13.44221,geodetic_temp_bias,-625.6,-3.8324803305325417,4.646567937680415,10.855017312802287,2000-01-01_2020-01-01,True
RGI60-13.44232,geodetic_temp_bias,-488.20000000000005,-3.8324803305325417,4.710044730603823,5.0,2000-01-01_2020-01-01,True
RGI60-13.44235,geodetic_temp_bias,-1712.3,-3.8324803305325417,4.646567937680415,9.585383673619816,2000-01-01_2020-01-01,True
