RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.04960,geodetic_temp_bias,-452.7,-0.1724087712465852,3.371339178036039,6.031009097708985,2000-01-01_2020-01-01,True,
RGI60-13.05000,geodetic_temp_bias,-92.5,-0.1724087712465852,3.371339178036039,5.057158649735548,2000-01-01_2020-01-01,True,
RGI60-13.30140,geodetic_temp_bias,-307.5,-5.625618264091382,4.465705248140563,5.20204345143374,2000-01-01_2020-01-01,True,
RGI60-13.30161,geodetic_temp_bias,-147.7,-5.625618264091382,6.698557872210844,4.876522335375554,2000-01-01_2020-01-01,True,
RGI60-13.30164,geodetic_temp_bias,-102.4,-5.625618264091382,6.642647128432735,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30173,geodetic_temp_bias,-408.2,-5.625618264091382,4.465705248140563,5.946714777820766,2000-01-01_2020-01-01,True,
RGI60-13.30237,geodetic_temp_bias,-419.20000000000005,-5.625618264091382,5.50291691971762,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30247,geodetic_temp_bias,-12.3,-5.625618264091382,6.698557872210844,4.58310433049259,2000-01-01_2020-01-01,True,
RGI60-13.30286,geodetic_temp_bias,-1098.4,-3.721268426209654,3.8647938174980396,10.609230621581622,2000-01-01_2020-01-01,True,
RGI60-13.30295,geodetic_temp_bias,-258.7,-3.721268426209654,3.8647938174980396,6.186232020336055,2000-01-01_2020-01-01,True,
RGI60-13.30305,geodetic_temp_bias,-383.79999999999995,-5.625618264091382,6.698557872210844,4.111193440182733,2000-01-01_2020-01-01,True,
RGI60-13.30330,geodetic_temp_bias,-443.2,-3.1124873244640097,6.259578287708213,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30337,geodetic_temp_bias,-406.0,-4.541201984319053,6.875062097819733,3.8292471861588644,2000-01-01_2020-01-01,True,
RGI60-13.30339,geodetic_temp_bias,-230.4,-4.541201984319053,4.583374731879823,6.19222807460032,2000-01-01_2020-01-01,True,
RGI60-13.30346,geodetic_temp_bias,-506.6,-4.541201984319053,6.875062097819733,3.264687303235931,2000-01-01_2020-01-01,True,
RGI60-13.30350,geodetic_temp_bias,-265.29999999999995,-4.541201984319053,5.40422440805352,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30358,geodetic_temp_bias,-361.9,-4.541201984319053,6.875062097819733,1.650992594422112,2000-01-01_2020-01-01,True,
RGI60-13.30366,geodetic_temp_bias,182.5,-4.541201984319053,6.875062097819733,2.1558724929877515,2000-01-01_2020-01-01,True,
RGI60-13.30379,geodetic_temp_bias,-526.2,-4.541201984319053,6.875062097819733,4.066155028507286,2000-01-01_2020-01-01,True,
RGI60-13.30384,geodetic_temp_bias,-221.29999999999998,-3.721268426209654,3.8647938174980396,11.01457911263152,2000-01-01_2020-01-01,True,
RGI60-13.30399,geodetic_temp_bias,-448.7,-3.1124873244640097,6.389282678294051,3.387588395605328,2000-01-01_2020-01-01,True,
RGI60-13.30401,geodetic_temp_bias,-396.3,-3.1124873244640097,6.389282678294051,4.496984171676436,2000-01-01_2020-01-01,True,
RGI60-13.30407,geodetic_temp_bias,-367.0,-3.1124873244640097,6.389282678294051,2.703653247897641,2000-01-01_2020-01-01,True,
RGI60-13.30416,geodetic_temp_bias,-394.5,-3.1124873244640097,6.389282678294051,3.561640395590369,2000-01-01_2020-01-01,True,
RGI60-13.30417,geodetic_temp_bias,-528.5999999999999,-3.1124873244640097,6.389282678294051,3.6675108373258287,2000-01-01_2020-01-01,True,
RGI60-13.30420,geodetic_temp_bias,-305.8,-3.1124873244640097,5.659224000175592,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30421,geodetic_temp_bias,-168.0,-3.1124873244640097,4.259521785529368,6.902830538165951,2000-01-01_2020-01-01,True,
RGI60-13.30654,geodetic_temp_bias,-338.8,-3.1124873244640097,6.389282678294051,4.55906762876537,2000-01-01_2020-01-01,True,
RGI60-13.30692,geodetic_temp_bias,-489.09999999999997,-3.1124873244640097,6.389282678294051,4.754851982130706,2000-01-01_2020-01-01,True,
RGI60-13.30710,geodetic_temp_bias,-150.2,-3.1124873244640097,4.632966157369705,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30774,geodetic_temp_bias,-331.7,-4.513840972913224,5.830317420446621,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30783,geodetic_temp_bias,-714.5,-4.513840972913224,5.917184656509789,4.535972515722094,2000-01-01_2020-01-01,True,
RGI60-13.30803,geodetic_temp_bias,-568.6,-4.513840972913224,5.917184656509789,4.515191225305831,2000-01-01_2020-01-01,True,
RGI60-13.30835,geodetic_temp_bias,-686.4,-4.513840972913224,5.340117726973466,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30859,geodetic_temp_bias,-535.2,-3.1124873244640097,4.767383310701809,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30888,geodetic_temp_bias,-329.90000000000003,-4.513840972913224,5.917184656509789,4.348673667260989,2000-01-01_2020-01-01,True,
RGI60-13.30913,geodetic_temp_bias,-447.6,-4.513840972913224,5.917184656509789,3.3273187302065352,2000-01-01_2020-01-01,True,
RGI60-13.30938,geodetic_temp_bias,-326.79999999999995,-4.513840972913224,5.616202502920502,5.0,2000-01-01_2020-01-01,True,
RGI60-13.30951,geodetic_temp_bias,-350.5,-4.513840972913224,5.643065392845633,5.0,2000-01-01_2020-01-01,True,
RGI60-13.31047,geodetic_temp_bias,-139.7,-2.430762975442008,5.297066084744976,3.4992228594012973,2000-01-01_2020-01-01,True,
RGI60-13.31079,geodetic_temp_bias,-363.4,-2.430762975442008,5.297066084744976,3.676027673194664,2000-01-01_2020-01-01,True,
RGI60-13.31095,geodetic_temp_bias,-244.9,-2.430762975442008,5.297066084744976,3.137807947131525,2000-01-01_2020-01-01,True,
RGI60-13.31112,geodetic_temp_bias,-507.29999999999995,-2.430762975442008,5.297066084744976,4.019561635229859,2000-01-01_2020-01-01,True,
RGI60-13.31114,geodetic_temp_bias,-193.39999999999998,-2.430762975442008,5.297066084744976,4.0781029531320865,2000-01-01_2020-01-01,True,
RGI60-13.31116,geodetic_temp_bias,-376.40000000000003,-2.430762975442008,5.297066084744976,3.182727414666749,2000-01-01_2020-01-01,True,
RGI60-13.31120,geodetic_temp_bias,-296.8,-2.430762975442008,5.297066084744976,3.265473998043741,2000-01-01_2020-01-01,True,
RGI60-13.31151,geodetic_temp_bias,-436.0,-2.430762975442008,5.297066084744976,3.873035987607157,2000-01-01_2020-01-01,True,
RGI60-13.31193,geodetic_temp_bias,-150.5,-0.1724087712465852,3.501249078036306,5.0,2000-01-01_2020-01-01,True,
RGI60-13.31201,geodetic_temp_bias,-83.2,-0.1724087712465852,4.097947472625496,5.0,2000-01-01_2020-01-01,True,
RGI60-13.31210,geodetic_temp_bias,-40.2,-0.1724087712465852,5.057008767054058,3.5669214697055467,2000-01-01_2020-01-01,True,
RGI60-13.31227,geodetic_temp_bias,-131.1,-0.1724087712465852,5.057008767054058,4.19471139913985,2000-01-01_2020-01-01,True,
RGI60-13.31255,geodetic_temp_bias,-90.80000000000001,-0.1724087712465852,5.057008767054058,4.783965272128681,2000-01-01_2020-01-01,True,
RGI60-13.43308,geodetic_temp_bias,-189.79999999999998,-0.1724087712465852,3.371339178036039,8.387644916644666,2000-01-01_2020-01-01,True,
RGI60-13.43355,geodetic_temp_bias,-238.1,-0.1724087712465852,3.371339178036039,8.692352885509894,2000-01-01_2020-01-01,True,
RGI60-13.43388,geodetic_temp_bias,-217.4,-2.430762975442008,4.257064541525704,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43396,geodetic_temp_bias,-239.7,-1.7632498519360043,3.5313773898299843,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43398,geodetic_temp_bias,-277.6,-3.441515374434184,4.412933413834499,10.300845256246387,2000-01-01_2020-01-01,True,
RGI60-13.43400,geodetic_temp_bias,-371.0,-2.6872457858212915,4.412933413834499,17.0,2000-01-01_2020-01-01,True,
RGI60-13.43402,geodetic_temp_bias,-37.6,-3.441515374434184,5.1969728996034785,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43407,geodetic_temp_bias,-304.59999999999997,-3.441515374434184,4.412933413834499,6.860206449151283,2000-01-01_2020-01-01,True,
RGI60-13.43420,geodetic_temp_bias,89.89999999999999,-3.441515374434184,5.616379497836642,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43422,geodetic_temp_bias,-160.89999999999998,-3.441515374434184,6.619400120751748,4.2280280352944075,2000-01-01_2020-01-01,True,
RGI60-13.43423,geodetic_temp_bias,-274.3,-3.441515374434184,6.360215028716969,5.0,2000-01-01_2020-01-01,True,
RGI60-13.43424,geodetic_temp_bias,-121.89999999999999,-3.441515374434184,6.619400120751748,4.985203496193366,2000-01-01_2020-01-01,True,
RGI60-13.43425,geodetic_temp_bias,-55.5,-2.430762975442008,3.5313773898299843,7.22931287287531,2000-01-01_2020-01-01,True,
