RGI_ID,Calibration_Method,MB_Geodetic,Temp_Bias,Prcp_Fac,melt_f,reference_period,Calibration_Success,MB_Model
RGI60-13.09998,geodetic_temp_bias,11.0,-2.414035285630205,4.785639466328725,5.0,2000-01-01_2020-01-01,True,
RGI60-13.10004,geodetic_temp_bias,186.20000000000002,-5.191544140599309,5.751649436141164,5.0,2000-01-01_2020-01-01,True,
RGI60-13.10005,geodetic_temp_bias,-24.400000000000002,-5.191544140599309,5.98400554269703,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40038,geodetic_temp_bias,69.2,-3.4753258488195566,4.768180814692785,5.2066413499694795,2000-01-01_2020-01-01,True,
RGI60-13.40039,geodetic_temp_bias,150.5,-3.4753258488195566,4.768180814692785,13.283589543446208,2000-01-01_2020-01-01,True,
RGI60-13.40104,geodetic_temp_bias,-103.1,-3.4753258488195566,6.12405386975605,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40137,geodetic_temp_bias,1.2,-3.4753258488195566,5.848585700061146,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40142,geodetic_temp_bias,172.5,-3.4753258488195566,5.906954252199997,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40170,geodetic_temp_bias,72.8,-2.8361038690219673,5.118610636618041,17.0,2000-01-01_2020-01-01,True,
RGI60-13.40189,geodetic_temp_bias,82.69999999999999,-4.810289554466538,5.406073578794595,5.963901511276321,2000-01-01_2020-01-01,True,
RGI60-13.40191,geodetic_temp_bias,53.3,-4.589563640046571,5.406073578794595,17.0,2000-01-01_2020-01-01,True,
RGI60-13.40195,geodetic_temp_bias,81.8,-3.4753258488195566,5.052698989246411,5.0,2000-01-01_2020-01-01,True,
RGI60-13.40214,geodetic_temp_bias,197.8,-4.810289554466538,8.10911036819189,3.372825386799305,2000-01-01_2020-01-01,True,
RGI60-13.40226,geodetic_temp_bias,131.70000000000002,-4.810289554466538,8.10911036819189,2.4807771587531926,2000-01-01_2020-01-01,True,
RGI60-13.40232,geodetic_temp_bias,336.9,-4.810289554466538,8.10911036819189,1.5154472104634924,2000-01-01_2020-01-01,True,
