Year,SSP,Mean_Runoff_m3,Std_Runoff_m3,Mean_Smooth_m3
2020.0,ssp126,7639137776.600003,1422696415.871946,
2021.0,ssp126,7746408336.599994,1197620431.7215626,
2022.0,ssp126,7567384428.199999,1080589460.0773356,8019207500.719998
2023.0,ssp126,8432749741.200002,1445073133.6572888,8064169339.759996
2024.0,ssp126,8710357220.999996,1413343560.4877834,8265536640.6399975
2025.0,ssp126,7863946971.799997,1477507494.6020646,8301839850.159999
2026.0,ssp126,8753244841.000002,1634855000.6736455,8260716158.759997
2027.0,ssp126,7748900475.800001,1612217323.1882718,8180267363.999997
2028.0,ssp126,8227131284.199995,1772184332.495401,8278173738.999998
2029.0,ssp126,8308113247.199995,1238073883.5813541,8234163519.279999
2030.0,ssp126,8353478846.800003,915855223.3088964,8440064886.519999
2031.0,ssp126,8533193742.4,874883625.6818206,8508544413.359999
2032.0,ssp126,8778407311.999998,1188304510.9058414,8719066718.8
2033.0,ssp126,8569528918.399999,1424399154.549778,8784350644.759998
2034.0,ssp126,9360724774.399994,1895296851.4541316,8777904134.719997
2035.0,ssp126,8679898476.6,2428089729.141706,8792253279.319998
2036.0,ssp126,8500961192.199994,891888445.0466152,8920456722.079998
2037.0,ssp126,8850153035.000004,1302266313.086038,8882589179.119999
2038.0,ssp126,9210546132.199997,1301730152.0810647,8819363259.119999
2039.0,ssp126,9171387059.599997,1903619267.4362552,8822860823.319998
2040.0,ssp126,8363768876.599998,1427064365.5288281,8701516197.679998
2041.0,ssp126,8518449013.199995,1414766787.7904584,8614575744.679998
2042.0,ssp126,8243429906.8,872927264.7421358,8550334472.6399975
2043.0,ssp126,8775843867.199997,936971076.7795174,8661418206.24
2044.0,ssp126,8850180699.399992,1453333682.6261508,8680115911.16
2045.0,ssp126,8919187544.600004,1665488076.8457856,8732205982.999998
2046.0,ssp126,8611937537.799995,1822435039.9553742,8800197178.159998
2047.0,ssp126,8503880265.999997,1271428455.5198026,8734259715.96
2048.0,ssp126,9115799842.999996,1093590833.75855,8748393709.079998
2049.0,ssp126,8520493388.4,1760913815.485358,8726399211.32
2050.0,ssp126,8989857510.2,1282687039.145785,8573857432.999998
2051.0,ssp126,8501965049.000003,850982370.3299915,8521570905.960001
2052.0,ssp126,7741171374.399997,1693017256.512555,8561938125.440001
2053.0,ssp126,8854367207.800001,1557647867.8690698,8486020660.480001
2054.0,ssp126,8722329485.8,895162962.5694166,8600475009.480001
2055.0,ssp126,8610270185.399998,2420556114.0154,8899570562.600002
2056.0,ssp126,9074236793.999996,1958376916.919315,8949535258.080004
2057.0,ssp126,9236649140.0,2297445553.8692813,8968783372.520004
2058.0,ssp126,9104190685.200005,1270582512.5473542,9012522560.720005
2059.0,ssp126,8818570058.000002,2139480164.1708858,9027346072.880005
2060.0,ssp126,8828966126.4,1886771825.67103,8940338882.720005
2061.0,ssp126,9148354354.800007,2307742061.038116,8794245875.040005
2062.0,ssp126,8801613189.200005,1656554107.7752986,8808491476.440006
2063.0,ssp126,8373725646.800003,2266353572.0180826,8731667062.760004
2064.0,ssp126,8889798064.999998,2386513654.1328173,8625173897.880005
2065.0,ssp126,8444844057.999994,1918660569.0287461,8593895481.400005
2066.0,ssp126,8615888530.400005,1996667510.28079,8626547090.760004
2067.0,ssp126,8645221106.8,1888315631.4238145,8434808102.040004
2068.0,ssp126,8536983693.599998,1984887295.0245004,8329969407.520006
2069.0,ssp126,7931103121.399999,1349384392.4942257,8230963671.040006
2070.0,ssp126,7920650585.4,1346815296.0157697,8043414052.480005
2071.0,ssp126,8120859848.000008,1863065377.1752968,7941867909.440007
2072.0,ssp126,7707473014.0,2264738954.933209,7803866558.080008
2073.0,ssp126,8029252978.400006,2052738761.4413402,7695403398.320007
2074.0,ssp126,7241096364.600003,1327766623.644118,7473304500.080007
2075.0,ssp126,7378334786.599996,1164228487.8646607,7383528340.560007
2076.0,ssp126,7010365356.800003,1340242333.447201,7327260258.080005
2077.0,ssp126,7258592216.399999,844975495.1799973,7369482749.680003
2078.0,ssp126,7747912565.999998,1572259677.5990195,7334682876.360003
2079.0,ssp126,7452208822.599996,966166137.6419638,7324102014.000002
2080.0,ssp126,7204335419.999997,1243644081.3949,7331424212.920001
2081.0,ssp126,6957461044.999995,1327683096.8869925,7246434277.120003
2082.0,ssp126,7295203211.000003,610767562.5872,7143262456.080004
2083.0,ssp126,7322962887.000006,866776324.7004592,6956839036.240004
2084.0,ssp126,6936349717.4,1142939692.998126,6929392979.080005
2085.0,ssp126,6272218320.8,705901298.6030233,6782236651.000004
2086.0,ssp126,6820230759.199997,1282453431.72231,6613088145.640001
2087.0,ssp126,6559421570.6,927247964.7156613,6596342517.920001
2088.0,ssp126,6477220360.199995,709681271.3055751,6543241135.999999
2089.0,ssp126,6852621578.800001,1153927871.755782,6424587599.960001
2090.0,ssp126,6006711411.199992,1114792570.6367764,6375909749.240001
2091.0,ssp126,6226963079.000002,1217488941.225614,6300292772.800001
2092.0,ssp126,6316032317.000004,949775469.0516689,6180017127.3600025
2093.0,ssp126,6099135478.000002,897957145.6647047,6220984244.240004
2094.0,ssp126,6251243351.600004,991011657.849812,6228545421.360003
2095.0,ssp126,6211546995.5999975,858047763.5616958,6206873997.040003
2096.0,ssp126,6264768964.599998,1038406827.8199339,6184390486.440002
2097.0,ssp126,6207675195.4000025,866101032.0314245,6209911123.560002
2098.0,ssp126,5986717924.999998,673998253.7828624,6199610845.480001
2099.0,ssp126,6378846537.200003,769184714.1601429,
2100.0,ssp126,6160045605.199997,553619988.422091,
2020.0,ssp370,7270688068.6,1073936754.465826,
2021.0,ssp370,7677381736.4,1123206474.395015,
2022.0,ssp370,8170517849.200009,1249378776.0186753,7740589590.56
2023.0,ssp370,7636176069.999994,1137124530.6834986,7924298868.960001
2024.0,ssp370,7948184228.600001,1783143165.4605446,8051355626.76
2025.0,ssp370,8189234460.599996,2014513703.6422458,8328601552.119998
2026.0,ssp370,8312665525.400003,1299796581.3833199,8660986670.48
2027.0,ssp370,9556747476.000002,1182321472.666522,8834036975.439999
2028.0,ssp370,9298101661.799997,1891701234.5731905,9036908343.199999
2029.0,ssp370,8813435753.399998,822131649.0877917,9198907096.48
2030.0,ssp370,9203591299.400005,774925096.5092155,9023779458.920002
2031.0,ssp370,9122659291.800007,1947742949.9149654,8887300134.52
2032.0,ssp370,8681109288.200003,1618043262.085822,8933415694.920002
2033.0,ssp370,8615705039.799995,1579373134.8160284,9046988751.519999
2034.0,ssp370,9044013555.4,1184220259.790747,9168214134.599997
2035.0,ssp370,9771456582.399996,2131117947.3666663,9249480014.999996
2036.0,ssp370,9728786207.199999,2138045131.0588133,9615542182.119997
2037.0,ssp370,9087438690.2,1875184378.659785,9700909294.159996
2038.0,ssp370,10446015875.4,2233918701.499954,9907937577.959997
2039.0,ssp370,9470849115.600002,2241710536.46487,9984521046.48
2040.0,ssp370,10806598001.400005,2913030095.289386,10137235532.919998
2041.0,ssp370,10111703549.8,1574463150.906027,10009615570.999996
2042.0,ssp370,9851011122.399998,1793763173.35919,10096652395.399998
2043.0,ssp370,9807916065.799997,2579233013.9362545,9897803239.119995
